condition,run,mean,skewness,large_fraction
quantum,61,4613.933333333333,-5.199469468957448,0.9666666666666667
quantum,62,4632.3,-5.199469468957453,0.9666666666666667
quantum,63,4587.833333333333,-5.199469468957454,0.9666666666666667
quantum,64,4121.5,-2.1572814731497205,0.8666666666666667
quantum,65,4609.1,-5.199469468957454,0.9666666666666667
quantum,66,4469.833333333333,-3.4743962151370504,0.9333333333333333
quantum,67,4585.9,-5.199469468957455,0.9666666666666667
quantum,68,4453.233333333334,-3.474399618768513,0.9333333333333333
quantum,69,4756.0,0.0,1.0
quantum,70,4459.533333333334,-3.4743961448615175,0.9333333333333333
quantum,71,4607.166666666667,-5.199469468957454,0.9666666666666667
quantum,72,4311.166666666667,-2.66666672051427,0.9
quantum,73,4756.0,0.0,1.0
quantum,74,4626.5,-5.199469468957452,0.9666666666666667
quantum,75,4793.0,0.0,1.0
quantum,76,4734.0,0.0,1.0
quantum,77,4565.633333333333,-5.19946946895745,0.9666666666666667
quantum,78,4604.266666666666,-5.199469468957445,0.9666666666666667
quantum,79,4475.4,-3.474396144861512,0.9333333333333333
quantum,80,4742.0,0.0,1.0
quantum,81,4808.0,0.0,1.0
quantum,82,4751.0,0.0,1.0
quantum,83,4482.966666666666,-3.474396773920277,0.9333333333333333
quantum,84,4273.433333333333,-2.666666885957841,0.9
quantum,85,4075.366666666667,-2.157278566663131,0.8666666666666667
quantum,86,4418.033333333334,-3.474412381291005,0.9333333333333333
quantum,87,4592.833333333333,-5.199469468957452,0.9666666666666667
quantum,88,4456.2,-3.4743961448615153,0.9333333333333333
quantum,89,4409.133333333333,-3.4743961448615157,0.9333333333333333
quantum,90,4399.866666666667,-3.4743961448615135,0.9333333333333333
quantum,91,4782.0,0.0,1.0
quantum,92,4255.766666666666,-2.6666735281699596,0.9
quantum,93,4593.666666666667,-5.199469468957453,0.9666666666666667
quantum,94,4583.0,-5.199469468957452,0.9666666666666667
quantum,95,4583.033333333334,-5.199469468957452,0.9666666666666667
