condition,avalanche_size
classical,4686
classical,4686
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4702
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4721
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,1
classical,2
classical,4692
classical,4692
classical,4692
classical,4692
classical,4692
classical,1
classical,4692
classical,4692
classical,4692
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,1
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4723
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,1
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4732
classical,4648
classical,4648
classical,4648
classical,9
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,1
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4648
classical,4670
classical,4670
classical,4670
classical,4670
