condition,mean,mean_std,skew,skew_std,alpha_mle,alpha_err
classical,2889.8216,76.10387520645715,-1.468364878326235,2.0836733095278097,1.1568273028145408,0.004473482388144748
quantum_pos,2915.776,60.89473146340329,-1.3764851168786958,2.1139286932422516,1.1567072121441357,0.0044609915914424125
quantum_neg,2851.8527999999997,93.91984001349236,-2.0633714307665545,2.2163792464385854,1.1571849503050575,0.0044983488282380425
mimic,2964.4768,40.33076113539142,-0.4694855340334425,1.4084566021003273,1.1565187611808245,0.004435899785714233
