condition,mean_magnetization,std_magnetization,n_runs,min_mag,max_mag
classical,-0.06792,0.4854867992712744,20,-0.6518666666666667,0.7210000000000001
quantum_positive,0.6030566666666667,0.16333676496395078,20,0.22726666666666664,0.7692666666666668
quantum_negative,-0.6662466666666667,0.09011371359442344,20,-0.7506,-0.43400000000000005
