comparison,t_statistic,p_value,significant_0.05,significant_0.01,significant_0.001
classical_vs_quantum_positive,-5.709813075967776,1.423854336169393e-06,True,True,True
classical_vs_quantum_negative,5.281804890606313,5.488771683316442e-06,True,True,True
