condition,run,mean_mag,std_mag,mean_flips,max_flips
classical,0,-0.1019333333333333,0.5949500782045125,43.123745819397996,80
classical,1,-0.6252666666666667,0.23054196050948197,39.7056856187291,80
classical,2,-0.521,0.3343615807276109,41.65217391304348,72
classical,3,-0.47073333333333334,0.43092860455326265,42.75585284280937,80
classical,4,-0.4743333333333333,0.5105877876417423,37.919732441471574,72
classical,5,0.5887333333333333,0.23504835436328606,40.40133779264214,80
classical,6,0.7210000000000001,0.14876491521860927,36.51505016722408,74
classical,7,-0.19313333333333332,0.641757624722051,39.197324414715716,80
classical,8,-0.5686,0.314840763985013,40.92307692307692,82
classical,9,0.15133333333333335,0.6775481942677994,38.72909698996656,82
classical,10,-0.6518666666666667,0.24510239130253753,38.8561872909699,78
classical,11,0.3383333333333333,0.4112305382088684,46.71571906354515,88
classical,12,-0.5614666666666667,0.3444384544282025,40.374581939799334,84
classical,13,0.48326666666666673,0.4953503765573975,39.88628762541806,78
classical,14,0.6703333333333334,0.20821436603227506,39.57859531772575,76
classical,15,0.662,0.22854029549877342,37.04347826086956,76
classical,16,-0.5136666666666667,0.2585985735115765,45.21739130434783,90
classical,17,-0.30060000000000003,0.5918048439589974,39.28428093645485,74
classical,18,0.23573333333333332,0.6409454960360428,38.52842809364549,76
classical,19,-0.2265333333333333,0.6175046414580397,41.357859531772576,88
quantum_positive,0,0.2952666666666666,0.532721561626918,42.72909698996656,80
quantum_positive,1,0.6160666666666667,0.23820270546089287,38.42140468227425,86
quantum_positive,2,0.6853333333333333,0.1826861303499043,37.558528428093645,80
quantum_positive,3,0.7062666666666666,0.16025207920301343,37.65886287625418,68
quantum_positive,4,0.29773333333333335,0.6796686905315624,37.23076923076923,82
quantum_positive,5,0.6932,0.18658088505167583,36.46153846153846,78
quantum_positive,6,0.7584,0.132333316540721,33.391304347826086,74
quantum_positive,7,0.6992666666666666,0.17766108809253145,36.468227424749166,74
quantum_positive,8,0.7692666666666668,0.12163659902439818,33.15719063545151,68
quantum_positive,9,0.22726666666666664,0.6766007159979133,37.852842809364546,76
quantum_positive,10,0.6816000000000001,0.18553734574652797,39.00334448160535,78
quantum_positive,11,0.6889333333333334,0.17774193527571247,38.240802675585286,84
quantum_positive,12,0.7401333333333334,0.14081660255650097,36.214046822742475,68
quantum_positive,13,0.6164666666666666,0.3286855369836376,38.69565217391305,86
quantum_positive,14,0.7445333333333334,0.14556825050661135,34.80936454849498,76
quantum_positive,15,0.7326,0.13104670922995357,36.020066889632105,76
quantum_positive,16,0.4400666666666667,0.5000146620072478,39.05016722408027,76
quantum_positive,17,0.4716000000000001,0.41704209220013594,41.74581939799331,88
quantum_positive,18,0.5512666666666667,0.3513740583607289,39.08361204013378,72
quantum_positive,19,0.6458666666666666,0.23668878769857735,38.30769230769231,82
quantum_negative,0,-0.6839333333333334,0.1667309076193,37.163879598662206,72
quantum_negative,1,-0.7198666666666667,0.1474312796601258,36.49498327759197,78
quantum_negative,2,-0.6628666666666667,0.1783062409327154,38.45484949832776,80
quantum_negative,3,-0.6670666666666667,0.23273030648275175,36.88963210702341,74
quantum_negative,4,-0.7477333333333334,0.13372183400211385,34.82274247491639,74
quantum_negative,5,-0.5634666666666668,0.25859359792711206,43.00334448160535,80
quantum_negative,6,-0.7377333333333334,0.17070890102419642,34.71571906354515,80
quantum_negative,7,-0.43400000000000005,0.504889426838524,40.862876254180605,78
quantum_negative,8,-0.7085333333333333,0.19554159546131242,35.752508361204015,74
quantum_negative,9,-0.7408666666666667,0.14477769932631968,35.07692307692308,66
quantum_negative,10,-0.7430666666666667,0.1585893929478121,34.06688963210702,68
quantum_negative,11,-0.7054,0.190714900658898,36.180602006688964,72
quantum_negative,12,-0.6565333333333334,0.2264007852361726,38.66220735785953,82
quantum_negative,13,-0.7132666666666666,0.15429407708082063,36.247491638795985,72
quantum_negative,14,-0.6439333333333334,0.23494509051170986,39.66555183946488,80
quantum_negative,15,-0.7064666666666667,0.17088646003186508,37.38461538461539,70
quantum_negative,16,-0.45626666666666665,0.4925573356360545,39.096989966555185,78
quantum_negative,17,-0.5664,0.2819722917829575,41.31103678929766,82
quantum_negative,18,-0.7506,0.13946913637073974,33.23076923076923,66
quantum_negative,19,-0.7169333333333334,0.15712817131953843,35.60535117056856,76
